# time(ps) Nwater Force (pN) Pressure Dif (atm) 
1 157 5455.2005 11754.547201198546
2 166 5767.919 12428.374747764068
3 169 5872.1585 12652.983929952574
4 167 5802.665499999999 12503.244475160236
5 166 5767.919 12428.374747764068
6 168 5837.411999999999 12578.114202556406
7 167 5802.665499999999 12503.244475160236
8 166 5767.919 12428.374747764068
9 173 6011.144499999999 12952.462839537251
10 168 5837.411999999999 12578.114202556406
11 165 5733.1725 12353.505020367898
12 170 5906.905 12727.853657348745
13 176 6115.384 13177.07202172576
14 165 5733.1725 12353.505020367898
15 165 5733.1725 12353.505020367898
16 167 5802.665499999999 12503.244475160236
17 167 5802.665499999999 12503.244475160236
18 169 5872.1585 12652.983929952574
19 170 5906.905 12727.853657348745
20 171 5941.6515 12802.723384744913
21 165 5733.1725 12353.505020367898
22 167 5802.665499999999 12503.244475160236
23 170 5906.905 12727.853657348745
24 167 5802.665499999999 12503.244475160236
25 166 5767.919 12428.374747764068
26 170 5906.905 12727.853657348745
27 166 5767.919 12428.374747764068
28 161 5594.1865 12054.026110783223
29 164 5698.4259999999995 12278.63529297173
30 161 5594.1865 12054.026110783223
31 168 5837.411999999999 12578.114202556406
32 166 5767.919 12428.374747764068
33 165 5733.1725 12353.505020367898
34 174 6045.891 13027.33256693342
35 170 5906.905 12727.853657348745
36 170 5906.905 12727.853657348745
37 169 5872.1585 12652.983929952574
38 166 5767.919 12428.374747764068
39 174 6045.891 13027.33256693342
40 163 5663.679499999999 12203.765565575559
41 168 5837.411999999999 12578.114202556406
42 170 5906.905 12727.853657348745
43 168 5837.411999999999 12578.114202556406
44 162 5628.933 12128.895838179393
45 164 5698.4259999999995 12278.63529297173
46 167 5802.665499999999 12503.244475160236
47 172 5976.397999999999 12877.593112141081
48 170 5906.905 12727.853657348745
49 174 6045.891 13027.33256693342
50 167 5802.665499999999 12503.244475160236
51 172 5976.397999999999 12877.593112141081
52 170 5906.905 12727.853657348745
53 166 5767.919 12428.374747764068
54 168 5837.411999999999 12578.114202556406
55 175 6080.6375 13102.20229432959
56 168 5837.411999999999 12578.114202556406
57 166 5767.919 12428.374747764068
58 170 5906.905 12727.853657348745
59 172 5976.397999999999 12877.593112141081
60 172 5976.397999999999 12877.593112141081
61 164 5698.4259999999995 12278.63529297173
62 175 6080.6375 13102.20229432959
63 172 5976.397999999999 12877.593112141081
64 168 5837.411999999999 12578.114202556406
65 169 5872.1585 12652.983929952574
66 162 5628.933 12128.895838179393
67 172 5976.397999999999 12877.593112141081
68 169 5872.1585 12652.983929952574
69 165 5733.1725 12353.505020367898
70 169 5872.1585 12652.983929952574
71 168 5837.411999999999 12578.114202556406
72 174 6045.891 13027.33256693342
