1 -0.5
2 1.5
3 0.5
4 0.5
5 2.0
6 2.0
7 3.0
8 3.0
9 6.0
10 5.0
11 4.5
12 1.5
13 1.0
14 3.0
15 1.5
16 -1.5
17 2.0
18 0.5
19 2.5
20 4.0
21 5.5
22 3.0
23 3.5
24 4.5
25 3.0
26 4.0
27 3.0
28 0.0
29 -1.5
30 1.5
31 -0.5
32 -0.5
33 -1.5
34 -1.0
35 -2.0
36 -5.0
37 -2.0
38 -1.0
39 1.5
40 -2.5
41 0.0
42 -1.0
43 -1.0
44 -1.0
45 -2.0
46 0.0
47 0.5
48 1.5
49 -0.5
50 0.0
51 1.5
52 3.5
53 1.5
54 0.0
55 1.0
56 2.5
57 0.5
58 0.0
59 2.0
60 3.5
61 6.0
62 4.5
63 2.5
64 1.5
65 3.0
66 0.5
67 1.0
68 1.0
69 3.5
70 2.0
71 2.0
72 3.0
73 4.5
74 3.5
75 1.5
76 2.5
77 1.5
78 0.0
79 0.0
80 1.0
81 -0.5
82 0.5
83 2.5
84 2.0
85 4.0
86 1.5
87 1.5
88 2.0
89 1.0
90 -2.0
91 -4.5
92 -5.5
93 -8.0
94 -6.0
95 -4.0
96 -2.5
97 -6.5
98 -8.5
99 -11.0
