ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  110000         0.0000         0.0000         0.0000         0.0000          -5518.1798       368.5014         0.0000         0.0000       920.6873          -4228.9910       292.4943     -5149.6784     -4228.1874       296.6144           -213.8659      -189.4485     22744.1049      -243.9402      -243.7902
ENERGY:  115000         0.0000         0.0000         0.0000         0.0000          -5547.6022       415.2668         0.0000         0.0000       938.4940          -4193.8414       298.1513     -5132.3354     -4191.0348       303.4283            271.9961       285.5082     22517.7310      -214.3618      -214.5509
ENERGY:  120000         0.0000         0.0000         0.0000         0.0000          -5671.6477       416.8434         0.0000         0.0000       940.9572          -4313.8472       298.9338     -5254.8044     -4312.2641       300.5953           -241.6161      -230.3865     22644.8615      -193.6016      -193.4858
ENERGY:  125000         0.0000         0.0000         0.0000         0.0000          -5600.2125       406.6816         0.0000         0.0000       921.0979          -4272.4330       292.6247     -5193.5308     -4268.8400       299.4296           -127.7833      -108.2191     22769.3033      -236.3715      -236.4577
ENERGY:  130000         0.0000         0.0000         0.0000         0.0000          -5558.6905       397.4117         0.0000         0.0000       959.5713          -4201.7075       304.8474     -5161.2788     -4199.4364       300.6843            314.4363       341.5875     22735.7023      -212.5525      -212.5584
ENERGY:  135000         0.0000         0.0000         0.0000         0.0000          -5563.2771       371.9531         0.0000         0.0000       941.1290          -4250.1950       298.9884     -5191.3240     -4248.9813       299.9133           -313.5037      -287.3855     22574.8559      -203.4250      -203.3127
ENERGY:  140000         0.0000         0.0000         0.0000         0.0000          -5591.3688       379.4360         0.0000         0.0000       906.3294          -4305.6034       287.9329     -5211.9328     -4303.0434       294.6130           -215.6566      -196.5575     22451.7191      -281.8726      -281.8736
ENERGY:  145000         0.0000         0.0000         0.0000         0.0000          -5579.8977       348.5396         0.0000         0.0000       969.7816          -4261.5764       308.0911     -5231.3581     -4260.1310       298.8729           -776.9096      -757.6308     22683.8536      -228.6654      -228.7250
ENERGY:  150000         0.0000         0.0000         0.0000         0.0000          -5609.2824       365.9140         0.0000         0.0000       968.2640          -4275.1045       307.6090     -5243.3684     -4273.4471       300.4581           -768.9532      -741.3887     22596.2931      -194.6543      -194.8703
ENERGY:  155000         0.0000         0.0000         0.0000         0.0000          -5686.6980       405.4982         0.0000         0.0000       954.8448          -4326.3551       303.3458     -5281.1999     -4322.9252       294.3668            -95.5487       -74.4346     22515.0471      -210.4020      -210.3157
ENERGY:  160000         0.0000         0.0000         0.0000         0.0000          -5672.6769       413.5505         0.0000         0.0000       960.2078          -4298.9186       305.0496     -5259.1264     -4297.5365       293.1463            211.2609       228.6776     22110.4536      -208.8427      -208.9258
ENERGY:  165000         0.0000         0.0000         0.0000         0.0000          -5697.3660       438.5564         0.0000         0.0000       945.3134          -4313.4962       300.3178     -5258.8096     -4311.3268       294.6491            103.6502       133.5360     22538.2051      -254.3199      -254.0292
ENERGY:  170000         0.0000         0.0000         0.0000         0.0000          -5577.1069       362.8040         0.0000         0.0000       940.7126          -4273.5904       298.8561     -5214.3029     -4271.9088       299.6191           -444.4714      -409.5830     22605.2189      -284.5732      -284.4512
ENERGY:  175000         0.0000         0.0000         0.0000         0.0000          -5551.4146       358.0599         0.0000         0.0000       899.4115          -4293.9432       285.7351     -5193.3547     -4291.1495       300.4951           -634.1993      -620.0673     22903.2089      -183.8494      -183.8834
ENERGY:  180000         0.0000         0.0000         0.0000         0.0000          -5585.1497       392.7476         0.0000         0.0000       952.0728          -4240.3293       302.4652     -5192.4021     -4238.1753       298.0938             91.1018       102.3177     22619.3856      -223.0973      -223.0635
ENERGY:  185000         0.0000         0.0000         0.0000         0.0000          -5583.5419       376.2094         0.0000         0.0000       985.6532          -4221.6792       313.1334     -5207.3324     -4220.2877       301.7912           -819.1238      -807.8190     23190.2021      -206.0879      -206.1362
ENERGY:  190000         0.0000         0.0000         0.0000         0.0000          -5586.6749       367.8621         0.0000         0.0000       909.5452          -4309.2676       288.9545     -5218.8128     -4307.5707       297.6208           -888.8436      -864.2784     22956.7666      -170.0099      -169.8270
ENERGY:  195000         0.0000         0.0000         0.0000         0.0000          -5566.8553       383.6473         0.0000         0.0000       908.4541          -4274.7539       288.6079     -5183.2080     -4271.9106       296.4008           -390.6801      -383.5387     22701.4793      -177.9899      -177.9173
ENERGY:  200000         0.0000         0.0000         0.0000         0.0000          -5626.6538       405.4956         0.0000         0.0000       927.1734          -4293.9848       294.5549     -5221.1582     -4291.9712       295.9510            -52.0766       -36.8316     22561.7856      -220.9528      -221.1476
ENERGY:  205000         0.0000         0.0000         0.0000         0.0000          -5642.7277       392.1991         0.0000         0.0000       896.2518          -4354.2768       284.7313     -5250.5286     -4351.6563       292.9668           -475.9203      -459.5144     22864.7932      -249.5679      -249.4831
ENERGY:  210000         0.0000         0.0000         0.0000         0.0000          -5520.8786       336.8302         0.0000         0.0000       946.4773          -4237.5712       300.6875     -5184.0484     -4236.4259       295.6524          -1028.9415     -1010.5045     22753.4405      -243.0713      -243.1634
ENERGY:  215000         0.0000         0.0000         0.0000         0.0000          -5637.4232       415.6673         0.0000         0.0000       981.8580          -4239.8979       311.9277     -5221.7559     -4237.6267       302.9926             10.8787        28.7490     22772.7667      -156.5605      -156.5806
ENERGY:  220000         0.0000         0.0000         0.0000         0.0000          -5563.4347       380.0622         0.0000         0.0000       910.8874          -4272.4851       289.3809     -5183.3725     -4270.2464       299.3714           -561.6757      -539.1072     22819.4487      -206.5453      -206.5774
ENERGY:  225000         0.0000         0.0000         0.0000         0.0000          -5596.1397       401.7521         0.0000         0.0000       945.8966          -4248.4909       300.5031     -5194.3875     -4246.1398       297.5890           -248.9323      -229.9368     23054.2248      -271.8067      -271.8274
ENERGY:  230000         0.0000         0.0000         0.0000         0.0000          -5637.0071       409.7863         0.0000         0.0000       910.9243          -4316.2965       289.3926     -5227.2208     -4314.6531       300.5875            310.4540       337.3990     22484.4349      -223.6682      -223.6316
ENERGY:  235000         0.0000         0.0000         0.0000         0.0000          -5638.6420       422.3670         0.0000         0.0000       959.0509          -4257.2241       304.6820     -5216.2749     -4255.6592       296.5994             63.2208        88.0871     22828.9621      -148.3507      -148.3970
ENERGY:  240000         0.0000         0.0000         0.0000         0.0000          -5617.8404       396.4040         0.0000         0.0000       950.3457          -4271.0908       301.9165     -5221.4365     -4270.2893       301.7210             93.1890       117.6667     22157.5286      -145.4508      -145.6768
ENERGY:  245000         0.0000         0.0000         0.0000         0.0000          -5707.6730       398.3763         0.0000         0.0000       924.2530          -4385.0437       293.6271     -5309.2967     -4383.5216       296.8320           -309.1756      -316.4960     22433.2098      -199.7089      -199.6396
ENERGY:  250000         0.0000         0.0000         0.0000         0.0000          -5419.0882       299.2477         0.0000         0.0000       910.5340          -4209.3065       289.2686     -5119.8405     -4207.2980       298.9218          -1450.0149     -1422.4958     22876.0450      -256.5449      -256.5474
ENERGY:  255000         0.0000         0.0000         0.0000         0.0000          -5580.0969       414.6984         0.0000         0.0000       923.5812          -4241.8173       293.4136     -5165.3985     -4240.5444       299.1920            230.8778       260.8688     22821.9252      -206.6969      -206.6994
ENERGY:  260000         0.0000         0.0000         0.0000         0.0000          -5718.3405       447.1947         0.0000         0.0000       923.0718          -4348.0741       293.2518     -5271.1458     -4345.7011       299.5885             80.9321        92.5425     22397.5463      -220.1606      -220.0976
ENERGY:  265000         0.0000         0.0000         0.0000         0.0000          -5501.1357       348.1225         0.0000         0.0000       975.2496          -4177.7635       309.8283     -5153.0131     -4176.2050       300.7658           -761.5091      -749.1490     22973.9930      -204.2717      -204.3248
ENERGY:  270000         0.0000         0.0000         0.0000         0.0000          -5604.7492       382.4074         0.0000         0.0000       957.7292          -4264.6126       304.2622     -5222.3418     -4261.7757       300.9138           -269.9838      -239.2141     22641.6186      -233.8346      -233.9266
ENERGY:  275000         0.0000         0.0000         0.0000         0.0000          -5603.4258       354.6467         0.0000         0.0000       901.3645          -4347.4146       286.3556     -5248.7791     -4346.0969       293.0191           -562.7293      -526.7994     22499.8856      -291.3822      -291.5441
ENERGY:  280000         0.0000         0.0000         0.0000         0.0000          -5541.0271       371.8485         0.0000         0.0000       902.3272          -4266.8514       286.6614     -5169.1786     -4265.1345       296.6178           -438.9317      -411.0188     22829.4968      -166.6996      -166.7845
ENERGY:  285000         0.0000         0.0000         0.0000         0.0000          -5602.7938       371.2573         0.0000         0.0000       977.4839          -4254.0526       310.5381     -5231.5365     -4251.9884       295.0658           -641.5192      -631.5757     22657.2777      -224.6546      -224.6210
ENERGY:  290000         0.0000         0.0000         0.0000         0.0000          -5609.5825       348.7593         0.0000         0.0000       927.5779          -4333.2452       294.6834     -5260.8232     -4331.0475       300.1676           -590.6013      -545.9207     22329.2661      -252.1172      -252.2550
ENERGY:  295000         0.0000         0.0000         0.0000         0.0000          -5618.7697       392.7367         0.0000         0.0000       904.4985          -4321.5345       287.3512     -5226.0330     -4319.4352       291.5733           -451.7478      -442.4370     22765.6310      -193.9978      -193.7497
ENERGY:  300000         0.0000         0.0000         0.0000         0.0000          -5659.3751       421.6166         0.0000         0.0000       899.6459          -4338.1126       285.8096     -5237.7586     -4335.8506       290.6382            139.1814       156.6324     22584.1720      -290.3107      -290.2737
ENERGY:  305000         0.0000         0.0000         0.0000         0.0000          -5609.6993       416.7765         0.0000         0.0000       950.9036          -4242.0192       302.0937     -5192.9227     -4239.7669       293.9195            -84.0013       -69.3173     22954.4282      -202.2868      -202.3000
ENERGY:  310000         0.0000         0.0000         0.0000         0.0000          -5629.6216       403.9170         0.0000         0.0000       977.6653          -4248.0393       310.5957     -5225.7046     -4246.8156       299.1755           -193.7928      -174.7872     22693.9870      -270.0147      -270.1742
ENERGY:  315000         0.0000         0.0000         0.0000         0.0000          -5669.2520       432.8253         0.0000         0.0000       979.0838          -4257.3430       311.0463     -5236.4267     -4253.5480       297.9190            298.0106       307.5060     22506.7071      -282.7637      -282.8246
ENERGY:  320000         0.0000         0.0000         0.0000         0.0000          -5618.0153       419.3238         0.0000         0.0000       912.5474          -4286.1441       289.9083     -5198.6915     -4284.2966       301.5806              9.4882        25.9643     22659.9786      -224.0578      -224.1551
ENERGY:  325000         0.0000         0.0000         0.0000         0.0000          -5541.3848       361.3696         0.0000         0.0000       912.2225          -4267.7927       289.8051     -5180.0152     -4263.7583       297.0466           -636.0470      -614.7589     22829.1358      -325.9224      -325.7293
ENERGY:  330000         0.0000         0.0000         0.0000         0.0000          -5571.3224       395.1661         0.0000         0.0000       923.3615          -4252.7947       293.3438     -5176.1562     -4250.6133       299.2507           -235.4624      -220.9422     22578.3640      -196.4443      -196.3942
